id_produto,nome_produto,categoria_produto,preco_produto,fornecedor_produto,peso_kg_produto,estoque_produto,produto_ativo,data_cadastro_produto,faixa_preco_produto,status_estoque_produto
PROD-0254,Secador de Cabelo 2200W,Beleza,,Perfumes & Cia,,258,False,2025-07-17,Nao Informado,Estoque Normal
PROD-0255,Secador de Cabelo 1800W,Beleza,90.0,Perfumes & Cia,0.12,172,True,2025-07-23,Medio,Estoque Normal
PROD-0268,Óleo Capilar 60ml,Beleza,61.0,Beauty Import Brasil,0.21,279,True,2025-12-21,Medio,Estoque Normal
PROD-0273,Batom Gloss,Beleza,27.0,Beauty Import Brasil,1.48,22,True,2019-10-16,Baixo,Estoque Normal
PROD-0275,Sérum Ácido Hialurônico,Beleza,186.0,Beauty Import Brasil,1.27,247,False,2024-04-11,Medio,Estoque Normal
PROD-0303,Condicionador Hidratante 400ml,Beleza,50.0,Beauty Import Brasil,0.63,239,True,2022-07-25,Medio,Estoque Normal
PROD-0305,Pos-barba Hidratante,Beleza,80.0,Beleza Total Atacado,0.19,368,True,2019-01-04,Medio,Estoque Normal
PROD-0311,Tinta para Cabelo,Beleza,,Beauty Import Brasil,0.74,107,False,2020-03-06,Nao Informado,Estoque Normal
PROD-0314,Pneu Aro 16,Automotivo,551.0,AutoPeças Brasil Ltda,13.17,232,True,2020-05-01,Alto,Estoque Normal
PROD-0336,Lampada LED Automotiva H4,Automotivo,81.0,Automotivo Import,21.65,172,True,2023-06-22,Medio,Estoque Normal
PROD-0343,GPS Veicular,Automotivo,210.0,AutoPeças Brasil Ltda,23.16,16,True,2022-11-04,Alto,Estoque Normal
PROD-0351,Macaco Hidraulico 2T,Automotivo,427.0,Automotivo Import,6.9,381,True,2025-03-29,Alto,Estoque Normal
PROD-0356,Shampoo Automotivo 1L,Automotivo,51.0,AutoPeças Brasil Ltda,13.82,1,True,2022-06-19,Medio,Estoque Baixo
PROD-0369,Correia Dentada Kit,Automotivo,160.0,AutoPeças Brasil Ltda,10.52,0,True,2025-08-20,Medio,Sem Estoque
PROD-0379,Quebra-cabeca 1000 Pecas,Brinquedos,53.0,Brinquedos do Brasil Ltda,7.88,462,False,2024-12-09,Medio,Estoque Normal
PROD-0383,Blocos de Montar 500 Pecas,Brinquedos,457.0,Brinquedos do Brasil Ltda,3.3,145,True,2023-07-13,Alto,Estoque Normal
PROD-0395,Balanco Infantil,Brinquedos,261.0,Brinquedos do Brasil Ltda,0.56,476,False,2025-02-14,Alto,Estoque Normal
PROD-0470,Armario de Cozinha 6 Portas,Móveis,,Decor Brasil Atacado,24.95,0,False,2021-05-19,Nao Informado,Sem Estoque
PROD-0478,Rede de Descanso,Móveis,,Interiores Import Ltda,9.72,12,False,2019-09-27,Nao Informado,Estoque Normal
PROD-0481,Aparador de Sala,Móveis,339.0,MoveisPlus Distribuidora,16.4,406,True,2021-01-14,Alto,Estoque Normal
PROD-0490,Banqueta Bar Alta,Móveis,429.0,MoveisPlus Distribuidora,52.1,44,True,2025-05-25,Alto,Estoque Normal
PROD-0516,Velocipede Infantil,Brinquedos,236.0,Brinquedos do Brasil Ltda,7.44,70,True,2020-02-15,Alto,Estoque Normal
PROD-0004,Notebook Intel Core i5,Eletrônicos,3359.0,Shenzhen Connect Brasil,,217,True,2020-12-21,Alto,Estoque Normal
PROD-0059,Mesa Digitalizadora,Eletrônicos,479.0,Shenzhen Connect Brasil,1.42,34,True,2019-01-27,Alto,Estoque Normal
PROD-0068,Calça Jeans Masculina,Vestuário,205.0,Confecções do Sul,1.49,258,True,2018-10-14,Alto,Estoque Normal
PROD-0073,Moletom com Capuz,Vestuário,,Confecções do Sul,,458,False,2022-07-01,Nao Informado,Estoque Normal
PROD-0082,Meia Esportiva Kit com 3,Vestuário,,TextilBrasil Distribuidora,1.06,497,False,2018-04-09,Nao Informado,Estoque Normal
PROD-0099,Cachecol de Lã,Vestuário,79.0,Moda Brasil Atacado,1.85,399,False,2024-10-14,Medio,Estoque Normal
PROD-0131,Edredom Solteiro,Casa,111.0,Utilidades do Lar Ltda,13.9,218,True,2021-03-23,Medio,Estoque Normal
PROD-0145,Organizador de Gaveta,Casa,91.0,Utilidades do Lar Ltda,8.16,69,False,2025-07-19,Medio,Estoque Normal
PROD-0167,Desumidificador,Casa,,Decor Import,3.65,365,False,2023-02-16,Nao Informado,Estoque Normal
PROD-0171,Kit Suporte Banheiro,Casa,92.0,Utilidades do Lar Ltda,13.62,18,True,2018-06-11,Medio,Estoque Normal
PROD-0172,Cesto de Roupa Suja,Casa,,Utilidades do Lar Ltda,5.44,85,False,2020-12-25,Nao Informado,Estoque Normal
PROD-0188,Bicicleta Aro 29 Mountain Bike,Esportes,813.0,Fitness Distribuidora,5.86,87,False,2018-11-02,Alto,Estoque Normal
PROD-0206,Colchão Inflável,Esportes,170.0,SportsBrasil Atacado,11.5,255,True,2018-12-22,Medio,Estoque Normal
PROD-0207,Mochila de Trilha 40L,Esportes,563.0,SportsBrasil Atacado,4.11,27,True,2023-03-04,Alto,Estoque Normal
PROD-0218,Kettlebell 12kg,Esportes,165.0,SportsBrasil Atacado,8.14,0,True,2018-07-21,Medio,Sem Estoque
PROD-0222,Colchonete Ginástica,Esportes,,SportsBrasil Atacado,12.16,105,False,2018-02-02,Nao Informado,Estoque Normal
PROD-0266,Condicionador Profissional 1L,Beleza,59.0,Beauty Import Brasil,0.16,204,True,2024-05-14,Medio,Estoque Normal
PROD-0270,Paleta de Sombras 18 Cores,Beleza,99.0,Beauty Import Brasil,,463,True,2019-03-28,Medio,Estoque Normal
PROD-0280,Esponja Mágica de Maquiagem,Beleza,80.0,Perfumes & Cia,0.75,42,True,2023-12-24,Medio,Estoque Normal
PROD-0282,Tônico Facial,Beleza,149.0,Cosméticos do Brasil Ltda,1.19,308,True,2021-05-20,Medio,Estoque Normal
PROD-0308,Creme de Depilação,Beleza,80.0,Beleza Total Atacado,1.0,427,True,2025-11-11,Medio,Estoque Normal
PROD-0319,Oleo de Motor 5W30 4L,Automotivo,,AutoPeças Brasil Ltda,6.3,350,False,2021-03-12,Nao Informado,Estoque Normal
PROD-0347,Pedal Esportivo Kit,Automotivo,193.0,AutoPeças Brasil Ltda,0.75,484,True,2025-12-29,Medio,Estoque Normal
PROD-0360,Rack de Teto Universal,Automotivo,318.0,AutoPeças Brasil Ltda,22.64,137,False,2024-03-31,Alto,Estoque Normal
PROD-0390,Robo Programavel,Brinquedos,490.0,Fun Kids Distribuidora,1.63,270,False,2019-04-30,Alto,Estoque Normal
PROD-0461,Cabeceira Casal,Móveis,291.0,Decor Brasil Atacado,36.42,46,True,2025-04-28,Alto,Estoque Normal
PROD-0462,Cabeceira Solteiro,Móveis,505.0,MoveisPlus Distribuidora,73.62,459,True,2022-05-14,Alto,Estoque Normal
PROD-0465,Berco Multifuncional,Móveis,1927.0,MoveisPlus Distribuidora,,422,True,2024-11-27,Alto,Estoque Normal
PROD-0492,Mesa de Canto Redonda,Móveis,246.0,Interiores Import Ltda,33.35,307,False,2021-06-27,Alto,Estoque Normal
PROD-0031,Capinha de Celular,Eletrônicos,80.0,Shenzhen Connect Brasil,0.34,90,False,2018-07-05,Medio,Estoque Normal
PROD-0048,Bateria Portátil 20000mAh,Eletrônicos,,Shenzhen Connect Brasil,0.75,493,False,2024-03-18,Nao Informado,Estoque Normal
PROD-0061,Leitor Código de Barras,Eletrônicos,344.0,TechBrasil Distribuidora,3.16,128,True,2018-10-09,Alto,Estoque Normal
PROD-0094,Carteira Masculina,Vestuário,168.0,Fashion Import Ltda,1.29,170,True,2019-12-02,Medio,Estoque Normal
PROD-0112,Conjunto Esportivo,Vestuário,,Fashion Import Ltda,0.46,182,False,2022-05-29,Nao Informado,Estoque Normal
PROD-0118,Kit Pijama Casal,Vestuário,302.0,Confecções do Sul,,111,False,2026-03-13,Alto,Estoque Normal
PROD-0134,Cobertor Casal,Casa,,Decor Import,14.01,0,False,2023-06-26,Nao Informado,Sem Estoque
PROD-0148,Persiana Horizontal,Casa,181.0,Decor Import,12.85,36,True,2019-02-01,Medio,Estoque Normal
PROD-0152,Tábua de Corte Bambu,Casa,31.0,Casa & Cia Distribuidora,1.53,329,False,2024-10-14,Baixo,Estoque Normal
PROD-0175,Multiprocessador,Casa,183.0,Utilidades do Lar Ltda,10.83,169,True,2026-01-26,Medio,Estoque Normal
PROD-0176,Vela Perfumada,Casa,68.0,Casa & Cia Distribuidora,0.53,443,False,2018-04-27,Medio,Estoque Normal
PROD-0223,Elástico de Resistência Kit,Esportes,66.0,Fitness Distribuidora,3.97,351,True,2021-04-01,Medio,Estoque Normal
PROD-0228,Luvas de Ciclismo,Esportes,66.0,Esporte Total Ltda,6.96,111,True,2020-09-01,Medio,Estoque Normal
PROD-0274,Sérum Vitamina C,Beleza,233.0,Perfumes & Cia,0.16,415,True,2019-06-24,Alto,Estoque Normal
PROD-0276,Desodorante Antitranspirante,Beleza,18.0,Perfumes & Cia,0.84,379,True,2024-12-21,Baixo,Estoque Normal
PROD-0286,Máscara Facial Argila,Beleza,58.0,Beleza Total Atacado,0.71,0,True,2023-08-15,Medio,Sem Estoque
PROD-0313,Pneu Aro 14,Automotivo,432.0,Automotivo Import,5.01,0,True,2020-10-11,Alto,Sem Estoque
PROD-0324,Capa para Banco Dianteiro Par,Automotivo,165.0,Automotivo Import,22.5,133,True,2020-01-20,Medio,Estoque Normal
PROD-0332,Pelicula Automotiva Solar,Automotivo,192.0,AutoPeças Brasil Ltda,1.22,146,False,2023-10-02,Medio,Estoque Normal
PROD-0363,Kit Primeiros Socorros Veicular,Automotivo,40.0,Peças & Cia Distribuidora,7.24,33,False,2023-01-08,Baixo,Estoque Normal
PROD-0386,Pelucia Gigante 80cm,Brinquedos,165.0,Toy Import Atacado,2.11,114,True,2026-03-06,Medio,Estoque Normal
PROD-0421,Moto de Brinquedo,Brinquedos,83.0,Brinquedos do Brasil Ltda,7.33,330,False,2023-02-09,Medio,Estoque Normal
PROD-0468,Comoda 5 Gavetas,Móveis,462.0,Decor Brasil Atacado,5.53,58,True,2022-09-02,Alto,Estoque Normal
PROD-0471,Balcao de Cozinha,Móveis,1485.0,Decor Brasil Atacado,78.72,263,True,2020-05-22,Alto,Estoque Normal
PROD-0479,Cadeira Alta para Bebe,Móveis,620.0,MoveisPlus Distribuidora,37.92,394,True,2023-03-07,Alto,Estoque Normal
PROD-0513,Smart TV 65 Polegadas,Eletrônicos,,Global Electronics Ltda,4.36,0,False,2025-04-22,Nao Informado,Sem Estoque
PROD-0514,Conjunto Esportivo Feminino,Vestuário,,Fashion Import Ltda,1.09,233,False,2025-11-25,Nao Informado,Estoque Normal
PROD-0014,Fone de Ouvido com Fio,Eletrônicos,90.0,Shenzhen Connect Brasil,1.42,388,True,2024-03-26,Medio,Estoque Normal
PROD-0021,Projetor Full HD,Eletrônicos,3607.0,Shenzhen Connect Brasil,1.32,0,True,2023-06-30,Alto,Sem Estoque
PROD-0057,Switch HDMI 4K,Eletrônicos,200.0,Alpha Tech Importados,3.42,307,True,2022-08-30,Alto,Estoque Normal
PROD-0060,Placa de Captura HDMI,Eletrônicos,450.0,TechBrasil Distribuidora,2.13,55,True,2019-02-12,Alto,Estoque Normal
PROD-0064,Camiseta Masculina Algodão,Vestuário,55.0,TextilBrasil Distribuidora,0.8,29,True,2018-06-30,Medio,Estoque Normal
PROD-0080,Tênis Esportivo,Vestuário,440.0,Moda Brasil Atacado,1.3,459,True,2022-12-19,Alto,Estoque Normal
PROD-0107,Calça Moletom,Vestuário,116.0,Moda Brasil Atacado,0.23,68,False,2022-09-08,Medio,Estoque Normal
PROD-0120,Camisola Feminina,Vestuário,115.0,Confecções do Sul,1.31,476,False,2018-08-21,Medio,Estoque Normal
PROD-0126,Conjunto de Panelas 5 Peças,Casa,203.0,HomeBrasil Atacado,13.83,305,True,2022-04-22,Alto,Estoque Normal
PROD-0158,Panela de Pressão Elétrica,Casa,,Casa & Cia Distribuidora,12.31,125,False,2024-06-24,Nao Informado,Estoque Normal
PROD-0162,Ferro de Passar a Vapor,Casa,,Utilidades do Lar Ltda,,426,False,2025-08-25,Nao Informado,Estoque Normal
PROD-0221,Anilha 10kg Par,Esportes,193.0,Atlética Import Ltda,13.99,293,True,2024-11-02,Medio,Estoque Normal
PROD-0229,Joelheira Esportiva Par,Esportes,70.0,Fitness Distribuidora,,488,True,2020-01-10,Medio,Estoque Normal
PROD-0238,Tênis de Natação,Esportes,83.0,Esporte Total Ltda,11.99,397,True,2021-07-25,Medio,Estoque Normal
PROD-0265,Shampoo Profissional 1L,Beleza,41.0,Beleza Total Atacado,0.85,354,True,2020-07-09,Baixo,Estoque Normal
PROD-0289,Creme para as Mãos,Beleza,,Beauty Import Brasil,0.66,0,False,2021-04-30,Nao Informado,Sem Estoque
PROD-0291,Spray Fixador de Maquiagem,Beleza,39.0,Beleza Total Atacado,1.13,356,True,2021-01-08,Baixo,Estoque Normal
PROD-0294,Iluminador Facial,Beleza,,Beauty Import Brasil,0.27,22,False,2018-05-16,Nao Informado,Estoque Normal
PROD-0301,Protetor Labial,Beleza,15.0,Beauty Import Brasil,0.77,292,False,2023-09-24,Baixo,Estoque Normal
PROD-0307,Autobronzeador,Beleza,135.0,Perfumes & Cia,1.38,194,False,2019-12-05,Medio,Estoque Normal
PROD-0329,Camera de Re,Automotivo,124.0,AutoPeças Brasil Ltda,11.96,410,True,2022-03-28,Medio,Estoque Normal
PROD-0340,Capa de Chuva para Carro,Automotivo,248.0,Automotivo Import,21.9,479,False,2018-09-23,Alto,Estoque Normal
PROD-0342,Cabo de Ligacao Veicular,Automotivo,,AutoPeças Brasil Ltda,24.08,340,False,2019-08-03,Nao Informado,Estoque Normal
PROD-0358,Flanela Automotiva Kit 5,Automotivo,73.0,Peças & Cia Distribuidora,16.59,437,False,2025-10-12,Medio,Estoque Normal
PROD-0365,Polidor Automotivo 500g,Automotivo,74.0,Peças & Cia Distribuidora,4.76,341,True,2024-09-14,Medio,Estoque Normal
PROD-0400,Telescopio Infantil,Brinquedos,204.0,Toy Import Atacado,5.61,69,False,2023-05-16,Alto,Estoque Normal
PROD-0420,Caminhao de Brinquedo,Brinquedos,98.0,Brinquedos do Brasil Ltda,4.2,0,False,2024-02-19,Medio,Sem Estoque
PROD-0448,Guarda-roupa 2 Portas,Móveis,1228.0,Decor Brasil Atacado,44.9,252,True,2020-01-03,Alto,Estoque Normal
PROD-0451,Cama Box Casal,Móveis,,Decor Brasil Atacado,56.75,170,False,2020-12-31,Nao Informado,Estoque Normal
PROD-0454,Escrivaninha Simples,Móveis,290.0,MoveisPlus Distribuidora,,234,True,2019-06-06,Alto,Estoque Normal
PROD-0474,Cabideiro de Parede,Móveis,113.0,Decor Brasil Atacado,11.97,391,True,2021-04-26,Medio,Estoque Normal
PROD-0483,Estante Gamer,Móveis,1148.0,MoveisPlus Distribuidora,64.93,125,True,2020-04-18,Alto,Estoque Normal
PROD-0491,Banco de Madeira,Móveis,303.0,Interiores Import Ltda,70.92,221,True,2024-07-16,Alto,Estoque Normal
PROD-0499,Perfume Importado 200ml,Beleza,220.0,Beleza Total Atacado,1.24,106,True,2022-06-10,Alto,Estoque Normal
PROD-0507,Câmera de Acao 4K,Eletrônicos,1400.0,TechBrasil Distribuidora,3.11,298,True,2020-06-17,Alto,Estoque Normal
PROD-0509,Creme Corporal Premium,Beleza,101.0,Perfumes & Cia,0.29,167,False,2022-03-11,Medio,Estoque Normal
PROD-0510,Suporte para Moto,Automotivo,107.0,Automotivo Import,2.61,241,True,2022-02-14,Medio,Estoque Normal
PROD-0006,Notebook Intel Core i3,Eletrônicos,1631.0,Alpha Tech Importados,4.01,3,True,2019-03-16,Alto,Estoque Baixo
PROD-0016,Caixa de Som Bluetooth,Eletrônicos,534.0,Shenzhen Connect Brasil,4.2,37,True,2022-10-14,Alto,Estoque Normal
PROD-0018,Barra de Som,Eletrônicos,1466.0,Alpha Tech Importados,1.92,262,True,2025-02-18,Alto,Estoque Normal
PROD-0024,Mouse Sem Fio,Eletrônicos,325.0,Shenzhen Connect Brasil,3.49,348,False,2024-08-24,Alto,Estoque Normal
PROD-0039,Roteador Wi-Fi,Eletrônicos,254.0,Shenzhen Connect Brasil,3.73,396,True,2020-09-07,Alto,Estoque Normal
PROD-0040,Drone com Câmera,Eletrônicos,2588.0,Shenzhen Connect Brasil,2.45,262,False,2022-01-27,Alto,Estoque Normal
PROD-0042,Controle Sem Fio,Eletrônicos,313.0,TechBrasil Distribuidora,0.54,35,True,2024-12-23,Alto,Estoque Normal
PROD-0084,Sutiã Conforto,Vestuário,117.0,TextilBrasil Distribuidora,0.93,472,True,2019-08-04,Medio,Estoque Normal
PROD-0085,Shorts Academia,Vestuário,42.0,Moda Brasil Atacado,1.14,189,True,2023-09-01,Baixo,Estoque Normal
PROD-0087,Bermuda Masculina,Vestuário,75.0,Fashion Import Ltda,1.68,207,True,2021-05-05,Medio,Estoque Normal
PROD-0128,Jogo de Lençol Casal,Casa,266.0,Utilidades do Lar Ltda,2.88,50,True,2020-01-10,Alto,Estoque Normal
PROD-0135,Toalha de Banho,Casa,37.0,Casa & Cia Distribuidora,8.61,197,True,2025-09-03,Baixo,Estoque Normal
PROD-0149,Jogo de Banheiro 3 Peças,Casa,94.0,Casa & Cia Distribuidora,10.13,327,True,2021-01-08,Medio,Estoque Normal
PROD-0154,Chaleira Elétrica,Casa,206.0,HomeBrasil Atacado,7.79,0,False,2025-10-28,Alto,Sem Estoque
PROD-0173,Cabideiro de Chão,Casa,133.0,Utilidades do Lar Ltda,6.28,142,True,2024-07-23,Medio,Estoque Normal
PROD-0186,Suporte para Secador,Casa,,Utilidades do Lar Ltda,4.94,74,False,2024-05-20,Nao Informado,Estoque Normal
PROD-0190,Bicicleta Speed Aro 700,Esportes,735.0,Esporte Total Ltda,4.46,221,True,2025-09-21,Alto,Estoque Normal
PROD-0216,Capacete Ciclismo,Esportes,140.0,SportsBrasil Atacado,0.46,409,True,2023-03-23,Medio,Estoque Normal
PROD-0226,Esteira Ergométrica,Esportes,,Fitness Distribuidora,8.4,323,False,2018-08-08,Nao Informado,Estoque Normal
PROD-0242,Luvas de Musculação,Esportes,160.0,SportsBrasil Atacado,13.03,234,True,2025-02-19,Medio,Estoque Normal
PROD-0244,Rolo de Pilates,Esportes,76.0,SportsBrasil Atacado,2.5,34,False,2024-01-05,Medio,Estoque Normal
PROD-0252,Perfume Feminino 50ml,Beleza,130.0,Perfumes & Cia,0.85,439,True,2021-12-24,Medio,Estoque Normal
PROD-0277,Loção Corporal Hidratante,Beleza,58.0,Beauty Import Brasil,0.76,97,True,2019-09-18,Medio,Estoque Normal
PROD-0279,Kit Manicure 10 Peças,Beleza,43.0,Cosméticos do Brasil Ltda,0.36,247,False,2025-03-07,Baixo,Estoque Normal
PROD-0292,Corretivo Líquido,Beleza,85.0,Beauty Import Brasil,1.47,370,True,2024-07-19,Medio,Estoque Normal
PROD-0302,Shampoo Anticaspa 400ml,Beleza,47.0,Beleza Total Atacado,1.2,246,True,2020-04-30,Baixo,Estoque Normal
PROD-0309,Cera Depilatória,Beleza,45.0,Beauty Import Brasil,0.84,332,True,2018-07-23,Baixo,Estoque Normal
PROD-0325,Capa para Banco Traseiro,Automotivo,297.0,AutoPeças Brasil Ltda,14.09,238,True,2024-04-14,Alto,Estoque Normal
PROD-0354,Fluido de Arrefecimento 1L,Automotivo,47.0,AutoPeças Brasil Ltda,0.32,0,True,2025-04-05,Baixo,Sem Estoque
PROD-0380,Quebra-cabeca 500 Pecas,Brinquedos,73.0,Fun Kids Distribuidora,1.97,291,True,2020-06-05,Medio,Estoque Normal
PROD-0389,Robo Interativo,Brinquedos,,Fun Kids Distribuidora,1.03,3,False,2025-09-22,Nao Informado,Estoque Baixo
PROD-0399,Fantasia Infantil,Brinquedos,122.0,Fun Kids Distribuidora,7.45,304,True,2022-06-09,Medio,Estoque Normal
PROD-0402,Drone Infantil,Brinquedos,213.0,Brinquedos do Brasil Ltda,0.35,261,True,2019-09-15,Alto,Estoque Normal
PROD-0408,Pistola de Bolhas,Brinquedos,46.0,Brinquedos do Brasil Ltda,3.91,73,True,2018-04-24,Baixo,Estoque Normal
PROD-0439,Mesa de Jantar 4 Cadeiras,Móveis,1086.0,MoveisPlus Distribuidora,8.38,308,True,2025-02-08,Alto,Estoque Normal
PROD-0444,Estante de Livros 5 Prateleiras,Móveis,655.0,MoveisPlus Distribuidora,19.7,0,False,2021-08-20,Alto,Sem Estoque
PROD-0456,Mesa de Canto,Móveis,506.0,Decor Brasil Atacado,6.05,4,True,2022-03-22,Alto,Estoque Baixo
PROD-0486,Gaveteiro com Rodas,Móveis,739.0,MoveisPlus Distribuidora,41.98,311,True,2022-06-22,Alto,Estoque Normal
PROD-0487,Nicho Decorativo Kit 3,Móveis,177.0,MoveisPlus Distribuidora,5.45,3,True,2020-04-19,Medio,Estoque Baixo
PROD-0496,Kit Churrasco 10 Pecas,Casa,109.0,Casa & Cia Distribuidora,1.07,331,True,2025-09-12,Medio,Estoque Normal
PROD-0001,Smartphone 128GB,Outros,2504.0,Shenzhen Connect Brasil,2.99,429,True,2024-04-10,Alto,Estoque Normal
PROD-0045,Hub USB 7 Portas,Eletrônicos,,Shenzhen Connect Brasil,3.49,177,False,2019-02-21,Nao Informado,Estoque Normal
PROD-0072,Vestido Longo,Vestuário,228.0,TextilBrasil Distribuidora,0.92,22,True,2025-04-17,Alto,Estoque Normal
PROD-0075,Jaqueta de Couro,Vestuário,,Fashion Import Ltda,1.77,17,False,2019-11-27,Nao Informado,Estoque Normal
PROD-0091,Mochila Escolar,Vestuário,323.0,Confecções do Sul,1.72,457,True,2025-03-26,Alto,Estoque Normal
PROD-0092,Mochila Executiva,Vestuário,386.0,Fashion Import Ltda,1.75,346,False,2020-08-27,Alto,Estoque Normal
PROD-0098,Luvas de Inverno,Vestuário,98.0,Confecções do Sul,1.46,88,True,2023-08-19,Medio,Estoque Normal
PROD-0104,Óculos de Sol,Vestuário,128.0,Fashion Import Ltda,1.21,180,False,2021-09-06,Medio,Estoque Normal
PROD-0114,Roupa de Banho Masculina,Vestuário,63.0,Confecções do Sul,0.22,266,True,2021-09-03,Medio,Estoque Normal
PROD-0132,Travesseiro Viscoelástico,Casa,174.0,Decor Import,5.81,19,True,2024-01-03,Medio,Estoque Normal
PROD-0163,Aspirador de Pó Vertical,Casa,354.0,Decor Import,6.68,276,False,2022-09-25,Alto,Estoque Normal
PROD-0233,Suporte Lombar Esportivo,Esportes,116.0,Esporte Total Ltda,3.5,375,True,2019-01-08,Medio,Estoque Normal
PROD-0246,Body Board,Esportes,304.0,SportsBrasil Atacado,13.87,140,True,2020-01-22,Alto,Estoque Normal
PROD-0261,Protetor Solar FPS 70,Beleza,57.0,Beauty Import Brasil,0.97,32,True,2022-08-11,Medio,Estoque Normal
PROD-0285,Gel de Limpeza Facial,Beleza,,Cosméticos do Brasil Ltda,,98,False,2021-03-01,Nao Informado,Estoque Normal
PROD-0300,Kit Barba Completo,Beleza,158.0,Beauty Import Brasil,0.83,0,False,2023-03-04,Medio,Sem Estoque
PROD-0310,Kit Coloração Cabelo,Beleza,,Beauty Import Brasil,0.93,96,False,2023-03-02,Nao Informado,Estoque Normal
PROD-0312,Pneu Aro 15,Automotivo,,Peças & Cia Distribuidora,6.08,198,False,2021-04-06,Nao Informado,Estoque Normal
PROD-0318,Bateria Automotiva 80Ah,Automotivo,686.0,Peças & Cia Distribuidora,21.97,385,True,2020-04-02,Alto,Estoque Normal
PROD-0330,Camera Frontal,Automotivo,,Peças & Cia Distribuidora,8.53,299,False,2018-02-09,Nao Informado,Estoque Normal
PROD-0338,Aspirador Veicular 12V,Automotivo,221.0,Automotivo Import,21.21,296,True,2022-02-09,Alto,Estoque Normal
PROD-0367,Filtro de Ar Veicular,Automotivo,92.0,AutoPeças Brasil Ltda,6.67,153,True,2023-08-05,Medio,Estoque Normal
PROD-0387,Kit Massinha de Modelar,Brinquedos,81.0,Brinquedos do Brasil Ltda,1.25,72,True,2025-12-30,Medio,Estoque Normal
PROD-0407,Lancador de Dardos,Brinquedos,66.0,Brinquedos do Brasil Ltda,6.02,359,True,2020-12-29,Medio,Estoque Normal
PROD-0412,Violao Infantil,Brinquedos,107.0,Toy Import Atacado,7.48,351,False,2024-07-14,Medio,Estoque Normal
PROD-0433,Sofa 3 Lugares,Móveis,,MoveisPlus Distribuidora,20.67,98,False,2021-02-10,Nao Informado,Estoque Normal
PROD-0460,Penteadeira com Espelho,Móveis,806.0,MoveisPlus Distribuidora,,149,True,2025-06-18,Alto,Estoque Normal
PROD-0472,Prateleira Flutuante Kit 3,Móveis,460.0,MoveisPlus Distribuidora,8.68,103,True,2019-12-21,Alto,Estoque Normal
PROD-0512,Rack Suspenso para TV,Móveis,622.0,MoveisPlus Distribuidora,69.5,87,False,2025-08-29,Alto,Estoque Normal
PROD-0053,SSD Externo 480GB,Eletrônicos,310.0,Shenzhen Connect Brasil,3.78,203,True,2021-02-16,Alto,Estoque Normal
PROD-0067,Camiseta Polo Feminina,Vestuário,147.0,TextilBrasil Distribuidora,1.89,197,True,2024-06-25,Medio,Estoque Normal
PROD-0117,Camiseta Ciclismo,Vestuário,187.0,Confecções do Sul,0.19,111,True,2020-04-23,Medio,Estoque Normal
PROD-0142,Luminária de Piso,Casa,468.0,Casa & Cia Distribuidora,0.6,14,False,2022-03-28,Alto,Estoque Normal
